time,reto
12.20409345626831,Reto 313
12.585899829864502,Reto 314
11.431951522827148,Reto 315
12.483786821365356,Reto 316
12.26262640953064,Reto 317
12.382689237594604,Reto 318
11.772353887557983,Reto 319
12.14537501335144,Reto 320
12.27364993095398,Reto 321
12.301907539367676,Reto 322
11.732021808624268,Reto 323
12.158592224121094,Reto 324
11.685710191726685,Reto 325
13.026921510696411,Reto 326
11.57884168624878,Reto 327
12.056607961654663,Reto 328
11.709163188934326,Reto 329
12.204632043838501,Reto 330
12.382401466369629,Reto 331
13.140302181243896,Reto 332
12.997813701629639,Reto 333
11.807459831237793,Reto 334
12.755157232284546,Reto 335
12.182770490646362,Reto 336
12.683983564376831,Reto 337
12.276126861572266,Reto 338
12.593554735183716,Reto 339
11.855201244354248,Reto 340
12.604191064834595,Reto 341
12.556322574615479,Reto 342
12.31011152267456,Reto 343
13.048257112503052,Reto 344
12.014451265335083,Reto 345
12.454785346984863,Reto 346
12.211166620254517,Reto 347
12.253002643585205,Reto 348
12.09463357925415,Reto 349
11.907733917236328,Reto 350
11.410668849945068,Reto 351
10.648160934448242,Reto 352
12.162312030792236,Reto 353
11.259227514266968,Reto 354
11.696513652801514,Reto 355
10.794552087783813,Reto 356
11.367704153060913,Reto 357
11.592708110809326,Reto 358
12.130056619644165,Reto 359
10.742062091827393,Reto 360
11.99603533744812,Reto 361
11.14676022529602,Reto 362
12.41195559501648,Reto 363
10.855214595794678,Reto 364
12.398599863052368,Reto 365
11.985123634338379,Reto 366
11.963973045349121,Reto 367
11.604640007019043,Reto 368
10.822750568389893,Reto 369
10.888725996017456,Reto 370
11.445344924926758,Reto 371
11.073860168457031,Reto 372
10.049533605575562,Reto 373
11.237465143203735,Reto 374
10.704727411270142,Reto 375
11.18345022201538,Reto 376
10.867507219314575,Reto 377
11.831305265426636,Reto 378
10.973630428314209,Reto 379
10.71415400505066,Reto 380
11.556135654449463,Reto 381
12.39330244064331,Reto 382
12.437195777893066,Reto 383
12.050215482711792,Reto 384
10.55517053604126,Reto 385
11.914564847946167,Reto 386
10.775359869003296,Reto 387
11.40820598602295,Reto 388
11.757202863693237,Reto 389
10.197083234786987,Reto 390
12.077229261398315,Reto 391
12.192612648010254,Reto 392
10.108062505722046,Reto 393
10.591600179672241,Reto 394
12.349486589431763,Reto 395
10.619744539260864,Reto 396
11.63313102722168,Reto 397
10.474236249923706,Reto 398
11.813164949417114,Reto 399
10.602428674697876,Reto 400
51.64285612106323,Reto 401
51.77828097343445,Reto 402
53.94968295097351,Reto 403
55.14425563812256,Reto 404
54.45889115333557,Reto 405
52.56041932106018,Reto 406
55.63666343688965,Reto 407
58.83875775337219,Reto 408
58.56299948692322,Reto 409
50.64345169067383,Reto 410
50.94506072998047,Reto 411
49.83201622962952,Reto 412
49.0532546043396,Reto 413
49.33205962181091,Reto 414
51.72885727882385,Reto 415
49.37952160835266,Reto 416
51.59691572189331,Reto 417
50.07940983772278,Reto 418
52.176366567611694,Reto 419
49.585039138793945,Reto 420
